,asin,title,description,category,topic_name,topic_rank,bubble_color,bubble_size
3,0793816793,Lionfishes and Other Scorpionfishes: The Complete Guide to the Successful Care and Breeding of ...,",The venomous but beautiful scorpionfishes are extremely popular <br> among home aquarists, with many spe...",fish,fish_1,15,0.7908166666666667,6.0
7,0978619404,Giant Clams in the Sea and the Aquarium,...James Fatherree has brought together the most up-to-date <br> literature and anecdotal information on ...,rabbits and rodents,rabbits and rodents_3,32,0.77940625,16.0
8,0979699967,Simply Charming Circles,This book contains 8 patterns--all made with some sort of <br> circular design! Don't be scared though. T...,farm animals,farm animals_5,10,0.79445,2.0
9,0982083513,Piece of Pie A La Mode,Softcover book of 46 pages with 10 more layer cake friendly <br> quilt patterns. Dessert recipes included...,other,other_5,19,0.6221333333333333,3.0
12,0983794812,"Pathway Cat Journal, Capture Your Memories, Pet Health and More","Kitty capers, playful antics and quality cuddle time. Capture <br> those special moments in your Pathway ...",cat,cat_2,34,0.8425333333333334,3.0
16,1300451092,Cat Vitamins Kitten Booster Pet Herbal Supplement,"VetVittles tm Kitten Booster (improved formula of the previous <br> Kitten Health) Boosts strength, immun...",cat,cat_1,26,0.9133666666666668,3.0
23,1300451041,Cat Vitamins Kitten Booster Herbal Supplement,"VetVittles tm Kitten Booster (improved formula of the previous <br> Kitten Health) Boosts strength, immun...",cat,cat_5,2,0.8529333333333332,9.0
41,1365543986,VetVittles Power-mune Plus - Natural Immunity Booster Supplement with Organic Herbs for Dogs and ...,nan,cat,cat_6,38,0.7942,3.0
48,1450873006,Disney Junior Deluxe Read-and-Play Gift Set - 12 Book Set Featuring Jake and the Never Land Pirates ...,This listing features a Disney Junior Deluxe Read-and-Play Gift <br> Set Book Set Jake &amp; Never Land P...,other,other_6,5,0.6984499999999999,6.0
52,1525600710,2018 Maud Lewis Mini Wall Calendar,"new bark collar,,",other,other_6,27,0.8351666666666667,3.0
60,1612232426,2018 Red Pandas Calendar,"Control your dogs barking in a humane, gentle way with this <br> all-new 2018 trend No Shock Small and La...",other,other_5,1,0.7841499999999999,8.0
63,1635440319,Cavallini Papers &amp; Co. 2018 National Parks Desk Calendar,2018 national parks desk calendar. Celebrate America's natural <br> beauty with these vintage images of U...,rabbits and rodents,rabbits and rodents_4,3,0.7168714285714285,7.0
70,1903492022,"System II Pre-Filter Sleeve 12/pk - 16 - 20""","Pre-Filter Sleeve for the SeaClear System II aquarium. Will fit <br> the 16"" or the 20"" models.,,",rabbits and rodents,rabbits and rodents_2,10,0.1225714285714285,7.0
103,6022600073,"DYEOF Flea Tick Collar for Cats - 8 Months Protection - Hypoallergenic, Adjustable &amp; Waterproof ...",Fleas and ticks can cause a wide variety of issues for your cats <br> and the most common of which is fle...,bird,bird_3,7,0.693225,4.0
105,6025002584,"Apontus Dog / Cat Exercise Softcrate Playpen, 45"" (Misc)","If dog containment products are what you are looking for, then <br> you have come to the right place. Per...",rabbits and rodents,rabbits and rodents_6,1,0.7935111111111111,9.0
106,6022600081,"32""x30""x61"" Large Parrot Bird Cages House Open Playtop Dome Top White Vein",nan,bird,bird_2,22,0.59045,2.0
107,6025002568,33&quot; 2-Door Soft Pet Playpen Dog Guinea Pig Puppy Exercise Crate Pen Kennel Blue,"What can you do for your lovely pet?
Provide your pet with a <br> playpen to satisfy your pet's need for ...",rabbits and rodents,rabbits and rodents_6,6,0.6482,3.0
132,7556012646,Serta Large Cuddler Pet Bed with Cool Twist Gel Memory Foam,About this item Your beloved furry family member can rest in <br> comfort. Gel-infused memory foam reduce...,other,other_2,39,0.74395,2.0
135,8496965791,Miniland Gaito Kamishibaiya Story Cards,Parents and teachers will love these beautiful Kamishibai <br> storytelling cards from Miniland. Gaito Ka...,dog,dog_0,1,0.5080366197183097,71.0
137,8963293548,"1/4"" ID 10Ft 3 Meter PVC Clear Vinyl Tubing Flexible Air Vacuum Aquarium Hose",nan,other,other_5,5,0.253075,4.0
140,9573095874,MINI Temperature Controller Thermostat 25W Heater Heating Aquarium Submersible for 5~20L,This mini Temperature Controller is an excellent and convenient <br> multifunction device for measuring a...,rabbits and rodents,rabbits and rodents_2,2,0.5473285714285714,7.0
145,9789883080,HQ 22x17 Dome Top Bird Cage and Rolling Stand w Shelf Black,Removable tray Removable grate 3 Stainless Steel Cups Access <br> feeders from outside the cage 1 Wood Pe...,bird,bird_3,13,0.8881,2.0
146,9789892063,Bird Cage Perches - Manzanita Sandblasted,Our Manzanita is harvested in the mountains of Southern <br> California and hand-crafted. Its hardness an...,bird,bird_3,2,0.8404666666666668,6.0
154,9822497466,Bella BirdCo Kito Toy - 10 Strand Bird Toy,With more than 80 colored wooden blocks this toy is sure to <br> outlast other wood toys of similar price...,bird,bird_1,18,0.4844449999999999,20.0
160,9820304628,"Dragonwood Bird Training T-stand (Color: Natural, Size: Small)",nan,bird,bird_4,7,0.8138,2.0
161,9828377357,Birds LOVE Go-Round Bird Toy,Graham's Parrot Toy Creations Go-Round Bird Toy measures <br> approximately 12.5 inches long by 3 inches ...,bird,bird_4,33,0.4872440000000001,25.0
162,9822497482,Birds LOVE Medium Buzzsaw Bird Toy,Graham's Parrot Toy Creations Medium Buzzsaw bird toy is made up <br> of 1 inch thick wooden trapeze and ...,bird,bird_6,17,0.6397428571428572,7.0
165,9828377306,Birds LOVE Totem Pole Bird Toy,Graham's Parrot Toy Creations totel pole measures approximately <br> 16 inches long by 9 inches wide. Thi...,bird,bird_6,34,0.5922321428571429,28.0
166,9822497938,Birds LOVE Bottlebrush Wood Bird Cage Perch,"Medium bolt-on bottlebrush cage perch for medium parrots. Made <br> in America from Bottlebrush, a native...",bird,bird_6,41,0.5835844036697249,109.0
167,9828397587,Bella BirdCo Multi Block Drop Bird Toy,? Certified hemp oil is known to support: ??BENEFITS OF PREMIUM <br> HEMP OIL-RELIEVES PAIN: helps with i...,bird,bird_3,19,0.4271,6.0
169,9828397498,Bella BirdCo Super Stepper,nan,bird,bird_3,14,0.74855,2.0
